# Source, author and licence for every downloaded photograph.
# file	commons title	author	licence	source
000_face_balaclava-as-suggested-fashion-piece-for-winter.jpg	File:Balaclava as suggested fashion piece for winter 2018 - modelled by ModelTanja.jpg	Tobias ToMar Maier	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Balaclava_as_suggested_fashion_piece_for_winter_2018_-_modelled_by_ModelTanja.jpg
001_face_smiling-woman-holding-a-cup-and-a-bottle-of-beer.jpg	File:Smiling woman holding a cup and a bottle of beer.jpg	Basile Morin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Smiling_woman_holding_a_cup_and_a_bottle_of_beer.jpg
002_face_folsom-street-east-2007-gay-pride-new-york-2007.jpg	File:Folsom Street East 2007 - Gay Pride New York 2007 - SML (589261692).jpg	See-ming Lee 李思明 SML	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Folsom_Street_East_2007_-_Gay_Pride_New_York_2007_-_SML_(589261692).jpg
003_face_gay-pride-new-york-2007-sml-692910335.jpg	File:Gay Pride New York 2007 - SML (692910335).jpg	See-ming Lee 李思明 SML	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Gay_Pride_New_York_2007_-_SML_(692910335).jpg
004_shoes_020170920-wojas-brooklyn-sneaker-men.jpg	File:020170920 Wojas 'Brooklyn' Sneaker (Men).jpg	Silar	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:020170920_Wojas_%27Brooklyn%27_Sneaker_(Men).jpg
005_shoes_hk-hkcec-wan-chai-sotheby-s-preview-item-nike-sp.jpg	File:HK HKCEC Wan Chai 蘇富比 Sotheby's Preview 拍賣 預展 item Nike sport shoes October 2021 SS2 02.jpg	DAIWGOMIO 200	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:HK_HKCEC_Wan_Chai_%E8%98%87%E5%AF%8C%E6%AF%94_Sotheby%27s_Preview_%E6%8B%8D%E8%B3%A3_%E9%A0%90%E5%B1%95_item_Nike_sport_shoes_October_2021_SS2_02.jpg
006_car_malta-classic-car-museum-20231205-155539-02.jpg	File:Malta Classic Car Museum 20231205 155539 02.jpg	Dwxn	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Malta_Classic_Car_Museum_20231205_155539_02.jpg
007_car_malta-classic-car-museum-20231205-155539-05.jpg	File:Malta Classic Car Museum 20231205 155539 05.jpg	Dwxn	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Malta_Classic_Car_Museum_20231205_155539_05.jpg
008_car_1954-sunbeam-talbot-alpine-sports-roadster-at-ca.jpg	File:1954 Sunbeam Talbot Alpine sports roadster at Capel Manor, Enfield, London, England 2.jpg	Acabashi	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:1954_Sunbeam_Talbot_Alpine_sports_roadster_at_Capel_Manor,_Enfield,_London,_England_2.jpg
009_car_hk-mk-mongkok-555-shanghai-street-langham-place.jpg	File:HK MK 旺角 Mongkok 上海街 555 Shanghai Street Langham Place shop Nike Sports Store n red car November 2025 N13P 01.jpg	Belsadnay Boratdm Sandsy	CC0	https://commons.wikimedia.org/wiki/File:HK_MK_%E6%97%BA%E8%A7%92_Mongkok_%E4%B8%8A%E6%B5%B7%E8%A1%97_555_Shanghai_Street_Langham_Place_shop_Nike_Sports_Store_n_red_car_November_2025_N13P_01.jpg
010_door_batumi2026door-wooden-at-kavavar-caffee-at-may26.jpg	File:Batumi2026door wooden at kavavar caffee at may26street building 31 bottom.jpg	Vitaly Zdanevich	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Batumi2026door_wooden_at_kavavar_caffee_at_may26street_building_31_bottom.jpg
011_door_batumi2026door-wooden-at-kavavar-caffee-at-may26.jpg	File:Batumi2026door wooden at kavavar caffee at may26street building 31 top.jpg	Vitaly Zdanevich	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Batumi2026door_wooden_at_kavavar_caffee_at_may26street_building_31_top.jpg
012_door_cape-town-za-wale-street-2024-3536.jpg	File:Cape Town (ZA), Wale Street -- 2024 -- 3536.jpg	Dietmar Rabich	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cape_Town_(ZA),_Wale_Street_--_2024_--_3536.jpg
013_door_epidauros-sanctuary-tholos-or-thymele-4th-centur.jpg	File:Epidauros Sanctuary - Tholos or Thymele - 4th century BC - 52041148077.jpg	TimeTravelRome	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Epidauros_Sanctuary_-_Tholos_or_Thymele_-_4th_century_BC_-_52041148077.jpg
014_landmark_catania-cathedral-from-the-abbey-of-st-agatha1.jpg	File:Catania Cathedral from the Abbey of St Agatha1.jpg	The Cosmonaut	CC BY-SA 2.5 ca	https://commons.wikimedia.org/wiki/File:Catania_Cathedral_from_the_Abbey_of_St_Agatha1.jpg
015_landmark_ely-cathedral-exterior-memorial-1-2024-03-15.jpg	File:Ely Cathedral exterior memorial 1 2024-03-15.jpg	The wub	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Ely_Cathedral_exterior_memorial_1_2024-03-15.jpg
016_landmark_canberra-au-commonwealth-avenue-bridge-2019-1811.jpg	File:Canberra (AU), Commonwealth Avenue Bridge -- 2019 -- 1811.jpg	Dietmar Rabich	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Canberra_(AU),_Commonwealth_Avenue_Bridge_--_2019_--_1811.jpg
017_landmark_new-york-city-new-york-usa-brooklyn-bridge-2012.jpg	File:New York City (New York, USA), Brooklyn Bridge -- 2012 -- 6630.jpg	Dietmar Rabich	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:New_York_City_(New_York,_USA),_Brooklyn_Bridge_--_2012_--_6630.jpg
018_animal_dog-and-cat-sculpture-in-mountain-view-californi.jpg	File:Dog and cat sculpture in Mountain View, California, July 2019.jpg	Baltakatei	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Dog_and_cat_sculpture_in_Mountain_View,_California,_July_2019.jpg
019_animal_dog-looking-at-christmas-tree-01.jpg	File:Dog looking at christmas tree 01.jpg	Trogain	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Dog_looking_at_christmas_tree_01.jpg
020_animal_cat-8636-a.jpg	File:Cat 8636-a.JPG	Nevit Dilmen (talk)	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Cat_8636-a.JPG
021_animal_cat-in-soda-water-box-2025-07-25.jpg	File:Cat in soda water box 2025-07-25.jpg	Andy Li	CC0	https://commons.wikimedia.org/wiki/File:Cat_in_soda_water_box_2025-07-25.jpg
022_food_food-plate-after-dinner-at-mtr-restaurant-indiar.jpg	File:Food Plate after dinner at MTR Restaurant, Indiaranagar, Bangalore, Karnatak.jpg	Sangram Keshari Senapati	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Food_Plate_after_dinner_at_MTR_Restaurant,_Indiaranagar,_Bangalore,_Karnatak.jpg
023_food_hk-cwb-causeway-bay-great-george-street-island-c.jpg	File:HK CWB 銅鑼灣 Causeway Bay Great George Street 金百利商場 Island Centre (Island Beverley) 花園餐廳 Sweetheart Garden Restaurant food 鐵板燒魚扒 hot metal plate with fish fillet May 2026 RA7P 01.jpg	AP22088 NgSaiKeaung Hooo	CC0	https://commons.wikimedia.org/wiki/File:HK_CWB_%E9%8A%85%E9%91%BC%E7%81%A3_Causeway_Bay_Great_George_Street_%E9%87%91%E7%99%BE%E5%88%A9%E5%95%86%E5%A0%B4_Island_Centre_(Island_Beverley)_%E8%8A%B1%E5%9C%92%E9%A4%90%E5%BB%B3_Sweetheart_Garden_Restaurant_food_%E9%90%B5%E6%9D%BF%E7%87%92%E9%AD%9A%E6%89%92_hot_metal_plate_with_fish_fillet_May_2026_RA7P_01.jpg
024_food_hk-cwb-causeway-bay-great-george-street-island-c.jpg	File:HK CWB 銅鑼灣 Causeway Bay Great George Street 金百利商場 Island Centre (Island Beverley) 花園餐廳 Sweetheart Garden Restaurant food 鐵板燒魚扒 hot metal plate with fish fillet May 2026 RA7P 02.jpg	AP22088 NgSaiKeaung Hooo	CC0	https://commons.wikimedia.org/wiki/File:HK_CWB_%E9%8A%85%E9%91%BC%E7%81%A3_Causeway_Bay_Great_George_Street_%E9%87%91%E7%99%BE%E5%88%A9%E5%95%86%E5%A0%B4_Island_Centre_(Island_Beverley)_%E8%8A%B1%E5%9C%92%E9%A4%90%E5%BB%B3_Sweetheart_Garden_Restaurant_food_%E9%90%B5%E6%9D%BF%E7%87%92%E9%AD%9A%E6%89%92_hot_metal_plate_with_fish_fillet_May_2026_RA7P_02.jpg
025_street_fishmonger-smiling-maracaibo-street-market-venez.jpg	File:Fishmonger smiling, Maracaibo street market, Venezuela.jpg	Wilfredor	CC0	https://commons.wikimedia.org/wiki/File:Fishmonger_smiling,_Maracaibo_street_market,_Venezuela.jpg
026_street_market-street-bradford.jpg	File:Market Street, Bradford.jpg	Tim Green	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Market_Street,_Bradford.jpg
027_street_street-market-hargeisa-somaliland-29322262370.jpg	File:Street Market Hargeisa, Somaliland (29322262370).jpg	Clay Gilliland from Chandler, U.S.A.	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Street_Market_Hargeisa,_Somaliland_(29322262370).jpg
028_interior_coughton-court-living-room.jpg	File:Coughton Court living room.jpg	Tristan Surtel	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Coughton_Court_living_room.jpg
029_interior_hk-cwb-ikea-shop-living-room-interior-design-jul.jpg	File:HK 銅鑼灣 CWB 宜家家居 IKEA shop living room interior design July 2017 IX1.jpg	Ausi TCHEm Lamiw	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:HK_%E9%8A%85%E9%91%BC%E7%81%A3_CWB_%E5%AE%9C%E5%AE%B6%E5%AE%B6%E5%B1%85_IKEA_shop_living_room_interior_design_July_2017_IX1.jpg
030_landscape_landscape-of-luang-prabang-with-a-temporary-wood.jpg	File:Landscape of Luang Prabang with a temporary wooden footbridge.jpg	Basile Morin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Landscape_of_Luang_Prabang_with_a_temporary_wooden_footbridge.jpg
