file	author	licence	source
vonderleyen/vonderleyen_00.jpg	Etienne Ansotte, © European Union, 2021	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Official_Portrait_of_Ursula_von_der_Leyen.jpg
vonderleyen/vonderleyen_01.jpg	Etienne Ansotte	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Official_Portrait_of_Ursula_von_der_Leyen_(cropped).jpg
vonderleyen/vonderleyen_02.jpg	Etienne Ansotte, © European Union, 2021	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Official_Portrait_of_Ursula_von_der_Leyen_(cropped)_(2).jpg
vonderleyen/vonderleyen_03.jpg	European Commission (Etienne Ansotte)	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen,_2021.jpg
vonderleyen/vonderleyen_04.jpg	Etienne Ansotte, © European Union, 2021	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Official_Portrait_of_Ursula_von_der_Leyen_(cropped_3).jpg
vonderleyen/vonderleyen_05.jpg	European People's Party	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen_2024.jpg
vonderleyen/vonderleyen_06.jpg	Etienne Ansotte, © European Union, 2021	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Official_Portrait_of_Ursula_von_der_Leyen_(3x4_cropped).jpg
vonderleyen/vonderleyen_07.jpg	European People's Party	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen_2024_(3x4_cropped).jpg
vonderleyen/vonderleyen_08.jpg	European People's Party	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen_2024_v2_(cropped4).jpg
vonderleyen/vonderleyen_09.jpg	European People's Party	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen_2024_v2_(cropped5).jpg
vonderleyen/vonderleyen_10.jpg	European People's Party	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen_2024_v2_(cropped6).jpg
